Substantiv;der;Fruchtsaft;;voćni sok;/
Substantiv;der;Likör;;liker;/
Substantiv;das;Bier;;pivo;/
Substantiv;der;Sekt;;pjenušavo vino;/
Substantiv;der;Schnaps;;rakija;/
Substantiv;der;Wein;;vino;/
Substantiv;der;Weißwein;;bijelo vino;/
Substantiv;der;Rotwein;;crno vino;/
Substantiv;der;Teller;;tanjur;/
Substantiv;der;Löffel;;žlica;/
Substantiv;das;Messer;;nož;/
Substantiv;die;Gabel;;vilica;/
Substantiv;das;Glas;;čaša;/
Substantiv;die;Tasse;;šalica;/
Substantiv;die;Praxis;;ambulanta opće prakse;/
Substantiv;der;Warterraum;;čekaonica;/
Substantiv;das;Heftpflaster;;flaster;/
Substantiv;die;Injektion;;injekcija;/
Substantiv;das;Labor;;laboratorij;/
Substantiv;das;Medikament;;lijek;/
Substantiv;die;Salbe;;krema;/
Substantiv;der;Patient;;pacijent;/
Substantiv;der;Blutdruckmesser;;tlakomjer;/
Substantiv;das;Thermometer;;toplomjer;/
Substantiv;der;Verband;;zavoj;/
Substantiv;die;Krankenschein;;uputnica;/
Substantiv;der;Rettungswagen;;kola hitne pomoći;/
Substantiv;der;Facharzt;;liječnik specijalist;/
Substantiv;der;Operationsaal;;operacijska sala;/
Substantiv;die;Entbindungsklinik;;rodilište;/
Substantiv;der;Rettungsdienst;;služba hitne pomoći;/
Substantiv;der;Schmerz;;bol;/
Substantiv;die;Kopfschmerzen;;glavobolja;/
Substantiv;die;Halsschmerzen;;grlobolja;/
Substantiv;das;Fieber;;vrućica;/
Substantiv;der;Husten;;kašalj;/
Substantiv;die;Rückenschmerzen;;bol u leđima;/
Substantiv;die;Blutung;;krvarenje;/
Substantiv;die;Verdauungsstörung;;probavne smetnje;/
Substantiv;die;Übelkeit;;mučnina;/
Substantiv;die;Nervosität;;nervoza;/
Substantiv;die;Ohnmacht;;nesvijestica;/
Substantiv;die;Brandwunde;;opeklina;/
Substantiv;die;Schwellung;;oteklina;/
Substantiv;die;Vergiftung;;trovanje;/
Substantiv;die;Verletzung;;ozljeda;/
Substantiv;die;Erkältung;;prehlada;/
Substantiv;der;Bruch;;prijelom;/
Substantiv;der;Krebs;;rak;/
Substantiv;die;Wunde;;rana;/
Substantiv;der;Sonnenstich;;sunčanica;/
Substantiv;die;Zuckerkrankheit;;dijabetes;/
Substantiv;die;Lungentzündung;;upala pluća;/
Substantiv;die;Blinddarmentzündung;;upala slijepog crijeva;/
Substantiv;die;Entzündung;;upala;/
Substantiv;der;Schwindel;;vrtoglavica;/
Substantiv;die;Zahnschmerzen;;zubobolja;/
Substantiv;die;Anschrift;;adresa;/
Substantiv;das;Telegramm;;telegram;/
Substantiv;die;Postkarte;;razglednica;/
Substantiv;die;Briefmarke;;poštanska marka;/
Substantiv;der;Briefumschlag;;omotnica;/
Substantiv;das;Paket;;paket;/
Substantiv;der;Brief;;pismo;/
Substantiv;der;Briefträger;;poštar;/
Substantiv;die;Postleitzahl;;poštanski broj;/
Substantiv;das;Postamt;;pošta;/
Substantiv;der;Empfänger;;primatelj;/
Substantiv;die;Ansichtkarte;;razglednica;/
Substantiv;die;Telefonzelle;;telefonska govornica;/
Substantiv;die;Telefonnumer;;broj telefona;/
Substantiv;das;Telefonbuch;;telefonski imenik;/
Substantiv;der;Bus;;autobus;/
Substantiv;das;Auto;;automobil;/
Substantiv;das;Fahrrad;;bicikl;/
Substantiv;das;Schiff;;brod;/
Substantiv;der;Hubschrauber;;helikopter;/
Substantiv;der;Lastkraftwagen;;kamion;/
Substantiv;das;Motorrad;;motocikl;/
Substantiv;die;U-Bahn;;metro;/
Substantiv;die;Autofähre;;automobilski trajekt;/
Substantiv;die;Straßenbahn;;tramvaj;/
Substantiv;der;Zug;;vlak;/
Substantiv;das;Flugzeug;;zrakoplov;/
Substantiv;die;Autobahn;;autocesta;/
Substantiv;die;Tankstelle;;benzinska pumpa;/
Substantiv;die;Hauptstraße;;glavna ulica;/
Substantiv;die;Nebenstraße;;sporedna ulica;/
Substantiv;der;Zebrastreifen;;pješački prijelaz;/
Substantiv;der;Fußgänger;;pješak;/
Substantiv;die;Kreuzung;;raskrižje;/
Substantiv;die;Ampel;;semafor;/
Substantiv;die;Kraftfahrzeugwerkstatt;;radionica za motorna vozila;/
Substantiv;der;Fahrer;;vozač;/
Substantiv;der;Führerschein;;vozačka dozvola;/
Substantiv;der;Zoll;;carina;/
Substantiv;der;Ausgang;;izlaz ;/
Substantiv;die;Passkontrole;;kontrola putovnica;/
Substantiv;die;Piste;;pista;/
Substantiv;die;Gepäckausgabe;;preuzimanje prtljage;/
Substantiv;der;Flugplan;;raspored letova;/
Substantiv;die;Landung;;slijetanje;/
Substantiv;die;Bordkarte;;ulazna karta;/
Substantiv;das;Boot;;čamac;/
Substantiv;die;Kajüte;;kabina;/
Substantiv;der;Käpiten;;kapetan;/
Substantiv;der;Hafen;;luka;/
Substantiv;der;Matrose;;mornar;/
Substantiv;das;Deck;;paluba;/
Substantiv;die;Schiffmannschaft;;brodska posada;/
Substantiv;die;Anlagestelle;;pristanište;/
Substantiv;das;Passagierschiff;;putnički brod;/
Substantiv;der;Passagier;;putnik;/
Substantiv;der;Frachtschiff;;teretni brod;/
Substantiv;der;Fahrkartenschalter;;šalter za prodaju karata;/
Substantiv;die;Ankunft;;dolazak;/
Substantiv;der;Liegewagen;;vagon za ležanje;/
Substantiv;der;Schlafwagen;;vagon za spavanje;/
Substantiv;der;Bahnhof;;željeznička stanica;/
Substantiv;der;Schaffner;;kondukter;/
Substantiv;das;Abteil;;kupe;/
Substantiv;die;Abfahrt;;odlazak;/
Substantiv;der;Bahnsteig;;peron;/
Substantiv;die;Rückfahrkarte;;povratna karta;/
Substantiv;die;Platzkarte;;rezervacija mjesta;/
Substantiv;der;Sitzplatz;;sjedalo;/
Substantiv;die;Batterie;;baterija;/
Substantiv;das;Schloß;;brava;/
Substantiv;das;Fahrgestell;;šasija;/
Substantiv;der;Reifen;;auto guma;/
Substantiv;die;Bremse;;kočnica;/
Substantiv;der;Blinker;;žmigavac;/
Substantiv;das;Reserverad;;rezervni kotač;/
Substantiv;der;Scheinwerfer;;glavno svjetlo;/
Substantiv;das;Lenkrad;;volan;/
Substantiv;der;Fahrzeugsschein;;prometna dozvola;/
Substantiv;das;Nummernschild;;registarske tablice;/
Substantiv;die;Wiese;;livada;/
Substantiv;das;Feld;;polje;/
Substantiv;der;Gemüsegarten;;povrtnjak;/
Substantiv;der;Bauer;;seljak;/
Substantiv;das;Heu;;sijeno;/
